"","ks4score","fiveac","fiveem","k3en","k3ma","k3sc","gender","SECshort","hiquamum","singlepar","house","fsm","parasp","computer","tuition","pupasp","homework","attitude","sen","truancy","absent","exclude","IDACI_n","FSMband"
"4937",439,"yes","yes",6,6,5,"Male","Intermediate","HE_below_degree_level","no","owned","no","Yes","Yes","No","Yes","5_evenings","low","No","No","No","No",0.264465348412024,"<5pr"
"4938",439,"yes","yes",5,5,5,"Male","Intermediate","No_qualification","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_high","No","No","missing","missing",0.659570991881672,"13pr-21pr"
"4941",439,"yes","no",4,4,4,"Male","Intermediate","GCSE_grades_A-C_or_equiv","yes","rented","yes","Yes","Yes","No","Yes","3_evenings","very_low","No","No","No","Yes",0.43156394880638,"13pr-21pr"
"4943",438.5,"yes","yes",6,8,7,"Male","Intermediate","GCE_A_Level_or_equivalent","no","owned","no","No","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.539733775947382,"<5pr"
"4944",438.25,"yes","yes",7,7,6,"Male","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","No","3_evenings","low","No","No","No","Yes",-1.55271475380959,"<5pr"
"4946",438,"yes","yes",7,6,7,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",-0.110486268146627,"9pr-13pr"
"4947",438,"yes","yes",5,7,6,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","No","4_evenings","very_high","No","No","No","No",0.133489290791035,"13pr-21pr"
"4948",438,"yes","yes",7,6,6,"Female","Managerial_and_professional","GCE_A_Level_or_equivalent","no","owned","no","Yes","Yes","No","Yes","3_evenings","very_low","No","Yes","No","No",-0.499306446172407,"5pr-9pr"
"4949",438,"yes","yes",6,6,6,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.070623090971995,"21pr-35pr"
"4950",438,"yes","yes",6,6,6,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","4_evenings","high","No","No","No","No",-0.396029740072104,"5pr-9pr"
"4951",438,"yes","yes",6,6,6,"Female","Intermediate","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","5_evenings","very_high","No","No","No","No",0.76275434288026,"<5pr"
"4952",438,"yes","yes",5,6,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","Yes","Yes","5_evenings","very_high","No","No","No","No",-0.775694399223227,"5pr-9pr"
"4953",438,"yes","yes",6,5,6,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.55916237750575,"9pr-13pr"
"4954",438,"yes","yes",7,6,5,"Female","Managerial_and_professional","Degree_or_equivalent","yes","owned","no","Yes","Yes","Yes","Yes","3_evenings","low","No","No","No","No",-1.07788992435603,"9pr-13pr"
"4956",438,"yes","yes",6,6,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","yes","rented","no","Yes","No","No","No","2_evenings","very_low","No","No","No","No",1.59839787736612,"13pr-21pr"
"4957",438,"yes","yes",6,6,5,"Female","Routine,_semi-routine_or_unemployed","GCSE_grades_A-C_or_equiv","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",0.293165621915402,"21pr-35pr"
"4958",438,"yes","yes",5,6,5,"Female","Managerial_and_professional","No_qualification","no","owned","no","Yes","Yes","No","Yes","2_evenings","high","No","Yes","No","No",-0.748782007080597,"35pr+"
"4959",438,"yes","yes",6,5,5,"Female","Managerial_and_professional","Other_qualifications","no","owned","no","Yes","Yes","No","Yes","4_evenings","very_high","No","No","No","No",-0.129316608844851,"<5pr"
"4960",438,"yes","no",5,6,4,"Female","Managerial_and_professional","GCSE_grades_A-C_or_equiv","no","owned","no","No","Yes","No","No","1_evening","very_low","No","No","Yes","No",-0.598957825036114,"21pr-35pr"
"4961",438,"yes","yes",6,5,4,"Female","Routine,_semi-routine_or_unemployed","No_qualification","no","rented","no","Yes","Yes","No","Yes","4_evenings","very_low","No","No","missing","missing",0.747624254792789,"13pr-21pr"
