ks4score,fiveac,fiveem,k3en,k3ma,k3sc,gender,SECshort,hiquamum,singlepar,house,fsm,parasp,computer,tuition,pupasp,homework,attitude,sen,truancy,absent,exclude,IDACI_n,FSMband
748,yes,yes,6,7,6,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,5_evenings,missing,No,No,No,No,-0.024823407686814,9pr-13pr
748,yes,yes,7,7,7,Male,Managerial_and_professional,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,2_evenings,very_high,No,No,No,No,-1.62881086720963,9pr-13pr
746.5,yes,yes,7,8,7,Male,missing,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,0.085784793874581,<5pr
746.25,yes,yes,5,7,6,Male,Intermediate,GCE_A_Level_or_equivalent,no,owned,yes,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,0.67517653980729,5pr-9pr
746,yes,yes,7,8,7,Female,Managerial_and_professional,Degree_or_equivalent,no,owned,no,Yes,Yes,No,Yes,3_evenings,low,No,No,No,No,-0.841218861218359,13pr-21pr
746,yes,yes,7,7,7,Female,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,4_evenings,high,No,No,No,No,-0.3282322213008,<5pr
746,yes,yes,6,7,7,Female,missing,GCE_A_Level_or_equivalent,no,owned,no,Yes,Yes,No,Yes,5_evenings,very_high,No,No,No,No,-0.268834308000287,<5pr
746,yes,yes,7,7,6,Male,Managerial_and_professional,No_qualification,no,owned,no,Yes,Yes,Yes,Yes,3_evenings,low,No,No,No,No,-1.27248982578579,13pr-21pr
745,yes,yes,5,6,5,Female,Managerial_and_professional,HE_below_degree_level,no,owned,no,Yes,Yes,No,Yes,3_evenings,very_high,No,No,No,No,-0.13565678810879,9pr-13pr
745,yes,yes,6,7,7,Male,missing,GCSE_grades_A-C_or_equiv,no,owned,no,Yes,Yes,No,Yes,3_evenings,high,No,No,No,No,-0.897641854850707,5pr-9pr
744,yes,yes,5,7,7,Female,Managerial_and_professional,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,4_evenings,very_high,No,No,No,No,0.426766393283429,13pr-21pr
743,yes,yes,6,8,7,Male,Managerial_and_professional,Other_qualifications,no,owned,no,Yes,Yes,No,Yes,4_evenings,low,No,No,No,No,-1.04725086069502,5pr-9pr
